Animal ID,Name,Primary Breed,Age Group,Location,Intake Date,Intake Type,OutCome Date,OutCome Type,Days in Custody,Days on Site,Days Available
Animal ID,Name,Primary Breed,Age Group,Location,Intake Date,Intake Type,OutCome Date,OutCome Type,Days in Custody,Days on Site,Days Available
GPG-A-4386,Mojo,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,1/17/2023,Owner/Guardian Surrender,N/A,N/A,71,46,71
GPG-A-4404,Disco Stu,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,1/19/2023,Transfer In,N/A,N/A,69,19,50
GPG-A-4434,Ralphie,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,1/24/2023,Stray,2/19/2023,Adoption,26,26,13
GPG-A-4435,Bae Bae,"Terrier, American Pit Bull",Adult Dog (6 months+),"Adoption Floor (Dog), Kennel 10",1/24/2023,Owner/Guardian Surrender,N/A,N/A,64,56,64
GPG-A-4437,Mia,"Retriever, Black Labrador",Adult Dog (6 months+),N/A,1/25/2023,Stray,N/A,N/A,63,30,50
GPG-A-4440,Amaretto,"Terrier, Pit Bull",Adult Dog (6 months+),"Adoption Floor (Dog), Kennel 6",1/26/2023,Transfer In,N/A,N/A,62,2,62
GPG-A-4535,Birdie,Beagle,Puppy (6 weeks-5 months),N/A,1/30/2023,Born In Care,N/A,N/A,58,0,22
GPG-A-4446,Pablo,"Terrier, Pit Bull",Adult Dog (6 months+),"Adoption Floor (Dog), Kennel 6",1/30/2023,Stray,N/A,N/A,58,43,50
GPG-A-4447,Joey,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,1/31/2023,Transfer In,N/A,N/A,57,7,57
GPG-A-4449,Lamar,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,1/31/2023,Stray,N/A,N/A,57,16,50
GPG-A-4457,Inky,"Terrier, Pit Bull",Adult Dog (6 months+),"Suites, Cuddle Room 2",2/2/2023,Stray,N/A,N/A,55,52,4
GPG-A-4467,Kia,"Terrier, Pit Bull",Puppy (6 weeks-5 months),N/A,2/3/2023,Owner/Guardian Surrender,N/A,N/A,54,1,6
GPG-A-4146-2,Dorthea,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,2/5/2023,Return,N/A,N/A,52,0,52
GPG-A-4479,Portia,Shepherd,Adult Dog (6 months+),N/A,2/8/2023,Stray,N/A,N/A,49,1,1
GPG-A-224-3,Nena,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,2/10/2023,Transfer In,2/20/2023,Adoption,11,1,11
GPG-A-4489,Lucia,"Terrier, Pit Bull",Puppy (6 weeks-5 months),N/A,2/10/2023,Owner/Guardian Surrender,N/A,N/A,47,1,37
GPG-A-4491,Cam,"Terrier, Pit Bull",Puppy (6 weeks-5 months),N/A,2/10/2023,Owner/Guardian Surrender,N/A,N/A,47,1,44
GPG-A-4493,Paula,"Terrier, Pit Bull",Puppy (6 weeks-5 months),N/A,2/10/2023,Owner/Guardian Surrender,N/A,N/A,47,2,35
GPG-A-4495,Old Man Jenkins,"Pyrenees, Great",Adult Dog (6 months+),N/A,2/10/2023,Stray,N/A,N/A,47,4,43
GPG-A-4514,Maddie,Shepherd,Puppy (6 weeks-5 months),N/A,2/14/2023,Born In Care,N/A,N/A,43,0,2
GPG-A-4510,Lightning,Shepherd,Puppy (6 weeks-5 months),N/A,2/14/2023,Born In Care,N/A,N/A,43,0,0
GPG-A-4511,Tow,Shepherd,Puppy (6 weeks-5 months),N/A,2/14/2023,Born In Care,N/A,N/A,43,0,2
GPG-A-4512,Sarge,Shepherd,Puppy (6 weeks-5 months),N/A,2/14/2023,Born In Care,N/A,N/A,43,0,2
GPG-A-4513,Fillmore,Shepherd,Puppy (6 weeks-5 months),N/A,2/14/2023,Born In Care,N/A,N/A,43,0,2
GPG-A-4515,Cruz,Shepherd,Puppy (6 weeks-5 months),N/A,2/14/2023,Born In Care,N/A,N/A,43,0,2
GPG-A-4516,Holley,Shepherd,Puppy (6 weeks-5 months),N/A,2/14/2023,Born In Care,N/A,N/A,43,0,2
GPG-A-4517,Lizzie,Shepherd,Puppy (6 weeks-5 months),N/A,2/14/2023,Born In Care,N/A,N/A,43,0,2
GPG-A-4507,Brandy,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,2/15/2023,Stray,N/A,N/A,42,22,33
GPG-A-4519,Sasha,"Bulldog, American",Adult Dog (6 months+),"Suites, Cuddle Room 1",2/17/2023,Owner/Guardian Surrender,N/A,N/A,40,23,40
GPG-A-4108-2,Rousso,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,2/19/2023,Return,N/A,N/A,38,0,38
GPG-A-4434-2,Ralphie,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,2/21/2023,Return,N/A,N/A,36,14,36
GPG-A-4532,Billy,Mastiff,Adult Dog (6 months+),"Adoption Floor (Dog), Kennel 1",2/22/2023,Owner/Guardian Surrender,N/A,N/A,35,13,35
GPG-A-4536,Adaline,"Terrier, Pit Bull",Adult Dog (6 months+),"Adoption Floor (Dog), Kennel 2",2/24/2023,Stray,N/A,N/A,33,33,9
GPG-A-4540,Hope Joy,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,2/25/2023,Stray,N/A,N/A,32,11,2
GPG-A-560-2,Mr. Rogers,"Terrier, American Pit Bull",Adult Dog (6 months+),N/A,2/28/2023,Owner/Guardian Surrender,N/A,N/A,29,0,29
GPG-A-4548,Thump,Great Dane,Adult Dog (6 months+),N/A,3/2/2023,Stray,N/A,N/A,27,9,19
GPG-A-4546,Remy,"Terrier, Pit Bull",Adult Dog (6 months+),"Adoption Floor (Dog), Kennel 14",3/2/2023,Transfer In,N/A,N/A,27,18,27
GPG-A-4549,Toffee,"Poodle, Standard",Adult Dog (6 months+),Adopted,3/7/2023,Stray,3/14/2023,Adoption,8,3,5
GPG-A-4550,Samoa,"Poodle, Standard",Adult Dog (6 months+),N/A,3/7/2023,Stray,N/A,N/A,22,16,15
GPG-A-4551,Theodore,Great Dane,Adult Dog (6 months+),N/A,3/8/2023,Owner/Guardian Surrender,N/A,N/A,21,9,5
GPG-A-4554,Eloise,"Hound, Plott",Adult Dog (6 months+),N/A,3/9/2023,Stray,N/A,N/A,20,12,19
GPG-A-4558,Chaco,"Terrier, Pit Bull",Adult Dog (6 months+),"Intake Holding Room 1, Kennel 1",3/9/2023,Transfer In,N/A,N/A,20,4,20
GPG-A-4560,August,"Retriever, Labrador",Adult Dog (6 months+),N/A,3/9/2023,Transfer In,N/A,N/A,20,9,20
GPG-A-4561,Pansy,"Retriever, Labrador",Adult Dog (6 months+),Adopted,3/9/2023,Transfer In,3/17/2023,Adoption,8,8,8
GPG-A-4562,Jane,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,3/9/2023,Transfer In,N/A,N/A,20,5,20
GPG-A-4563,Miller,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,3/9/2023,Transfer In,N/A,N/A,20,18,0
GPG-A-4571,Ameren,"Shepherd, German",Adult Dog (6 months+),N/A,3/13/2023,Stray,N/A,N/A,16,5,12
GPG-A-4572,Mouse,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,3/13/2023,Transfer In,N/A,N/A,16,1,16
GPG-A-4573,Nissa,"Terrier, Pit Bull",Adult Dog (6 months+),"Adoption Floor (Dog), Kennel 13",3/14/2023,Owner/Guardian Surrender,N/A,N/A,15,15,15
GPG-A-4574,Nala,"Terrier, Pit Bull",Adult Dog (6 months+),"Adoption Floor (Dog), Kennel 13",3/14/2023,Owner/Guardian Surrender,N/A,N/A,15,15,15
GPG-A-4579,Irish,"Terrier, Pit Bull",Puppy (6 weeks-5 months),N/A,3/16/2023,Stray,N/A,N/A,13,1,12
GPG-A-4580,Clover,"Terrier, Pit Bull",Puppy (6 weeks-5 months),N/A,3/16/2023,Stray,N/A,N/A,13,1,12
GPG-A-4581,Guinness,"Terrier, Pit Bull",Puppy (6 weeks-5 months),N/A,3/16/2023,Stray,N/A,N/A,13,1,12
GPG-A-4584,Precious,"Terrier, Jack Russell",Adult Dog (6 months+),N/A,3/16/2023,Owner/Guardian Surrender,N/A,N/A,13,1,13
GPG-A-4586,Choppo,"Terrier, Pit Bull",Adult Dog (6 months+),"Suites, Training Room",3/17/2023,Owner/Guardian Surrender,N/A,N/A,12,12,0
GPG-A-4592,Dirt Bike,"Terrier, Pit Bull",Puppy Unweaned (0-6 weeks),N/A,3/18/2023,Stray,N/A,N/A,11,1,0
GPG-A-4605,Adrian,"Shepherd, German",Adult Dog (6 months+),N/A,3/20/2023,Stray,N/A,N/A,9,4,2
