Animal ID,Name,Species,Primary Breed,Age Group,Location,Intake Date,Intake Type,OutCome Date,OutCome Type,Days in Custody,Days on Site,Days Available
GPG-A-547,Miss Beliz,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,03/02/2020,Owner/Guardian Surrender,03/25/2020,Adoption,24,9,24
GPG-A-443-2,Presley,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,03/04/2020,Owner/Guardian Surrender,04/11/2020,Adoption,39,10,39
GPG-A-565,Meeka,Dog,"Retriever, Chocolate Labrador",Adult Dog (6 months+),Adopted,03/04/2020,Transfer In,03/15/2020,Adoption,11,1,11
GPG-A-566,Dobbie,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,03/04/2020,Transfer In,05/13/2020,Adoption,70,9,70
GPG-A-567,Cash Money,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,03/04/2020,Stray,04/22/2020,Adoption,50,10,40
GPG-A-563,Tamara,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,03/05/2020,Transfer In,04/06/2020,Adoption,32,11,32
GPG-A-562,Dimitri,Dog,Shiba Inu,Adult Dog (6 months+),Adopted,03/05/2020,Transfer In,03/12/2020,Adoption,8,3,8
GPG-A-561,Mallory,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,03/05/2020,Transfer In,03/28/2020,Adoption,23,4,23
GPG-A-570,Swirls-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,03/06/2020,Stray,03/22/2020,Adoption,17,2,17
GPG-A-564,SpyChase,Dog,"Retriever, Black Labrador",Adult Dog (6 months+),Adopted,03/06/2020,Transfer In,04/23/2020,Adoption,48,4,48
GPG-A-571,Zandy-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,03/06/2020,Stray,04/04/2020,Adoption,29,10,29
GPG-A-572,Vandy-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,03/06/2020,Stray,04/04/2020,Adoption,29,10,29
GPG-A-225-2,Crawford,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,03/08/2020,Return,04/08/2020,Adoption,31,0,31
GPG-A-494-3,Gentilly,Dog,"Shepherd, German",Adult Dog (6 months+),Adopted,03/09/2020,Owner/Guardian Surrender,03/11/2020,Adoption,3,3,3
GPG-A-431-3,Raffi,Dog,Mastiff,Adult Dog (6 months+),Adopted,03/09/2020,Return,03/26/2020,Adoption,18,0,18
GPG-A-573,Netta,Dog,"Retriever, Chocolate Labrador",Adult Dog (6 months+),Adopted,03/10/2020,Transfer In,03/23/2020,Adoption,14,0,14
GPG-A-577,Koolaid,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,03/10/2020,Stray,03/24/2020,Adoption,15,4,13
GPG-A-574,Roger,Dog,"Corgi, Cardigan Welsh",Adult Dog (6 months+),Adopted,03/11/2020,Transfer In,03/12/2020,Adoption,2,1,2
GPG-A-576,Rosetta,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,03/12/2020,Transfer In,04/16/2020,Adoption,36,3,36
GPG-A-580,Ortyl,Dog,Rottweiler,Adult Dog (6 months+),Adopted,03/12/2020,Stray,03/19/2020,Adoption,8,5,4
GPG-A-578,Asia,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,03/12/2020,Transfer In,05/28/2020,Adoption,78,3,78
GPG-A-579,Francisca,Dog,"Retriever, Black Labrador",Adult Dog (6 months+),Adopted,03/12/2020,Transfer In,03/26/2020,Adoption,14,4,14
GPG-A-575,Robby,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,03/12/2020,Transfer In,04/12/2020,Adoption,31,3,31
GPG-A-581,Flora,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,03/13/2020,Transfer In,03/20/2020,Adoption,7,2,6
GPG-A-582,Tug,Dog,"Shepherd, German",Adult Dog (6 months+),Adopted,03/13/2020,Transfer In,03/28/2020,Adoption,15,3,13
GPG-A-583,Zebo,Dog,Hound,Adult Dog (6 months+),Adopted,03/13/2020,Transfer In,03/24/2020,Adoption,11,1,11
GPG-A-460-2,Neytiri,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,03/13/2020,Return,03/24/2020,Adoption,11,0,11
GPG-A-497-2,Kansas,Dog,Bernese Mountain Dog,Adult Dog (6 months+),Adopted,03/13/2020,Return,03/31/2020,Adoption,18,0,18
GPG-A-369-2,Penny-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,03/14/2020,Owner/Guardian Surrender,03/23/2020,Adoption,9,0,9
GPG-A-370-2,Sheldon-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,03/14/2020,Owner/Guardian Surrender,03/23/2020,Adoption,9,0,9
