Animal ID,Name,Species,Primary Breed,Age Group,Location,Intake Date,Intake Type,OutCome Date,OutCome Type,Days in Custody,Days on Site,Days Available
GPG-A-4275,Charlie,Dog,Shepherd,Adult Dog (6 months+),"Adoption Floor (Dog), Kennel 9",12/23/2022,Stray,-,-,96,32,89
GPG-A-4276,Ponderosa,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,12/23/2022,Stray,-,-,96,19,89
GPG-A-4277,Deandra,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,12/23/2022,Stray,-,-,96,2,96
GPG-A-4282,Raymond,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,12/23/2022,Stray,-,-,96,27,92
GPG-A-4284,Duncan,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,12/26/2022,Stray,-,-,93,3,87
GPG-A-4335,Misty,Dog,"Terrier, American Pit Bull",Adult Dog (6 months+),N/A,1/5/2023,Transfer In,-,-,83,6,83
GPG-A-4344,Abbott,Dog,"Terrier, American Pit Bull",Adult Dog (6 months+),"Adoption Floor (Dog), Kennel 3",1/5/2023,Stray,-,-,83,32,73
GPG-A-4345,Costello,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,1/5/2023,Stray,-,-,83,8,44
GPG-A-4359,Bon Bon Girl,Dog,"Terrier, American Pit Bull",Adult Dog (6 months+),N/A,1/6/2023,Stray,-,-,82,56,75
GPG-A-4367,Amina,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,1/10/2023,Stray,-,-,78,7,71
GPG-A-4368,Juke,Dog,"Terrier, American Staffordshire",Adult Dog (6 months+),N/A,1/11/2023,Stray,-,-,77,18,48
GPG-A-4369,Sophia,Dog,"Terrier, American Pit Bull",Adult Dog (6 months+),N/A,1/11/2023,Stray,-,-,77,9,76
GPG-A-4373,Winnie-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,1/12/2023,Owner/Guardian Surrender,2/2/2023,Adoption,22,2,22
GPG-A-4379,Lovebird,Dog,Rottweiler,Adult Dog (6 months+),Adopted,1/14/2023,Owner/Guardian Surrender,3/15/2023,Adoption,61,6,19
GPG-A-4383,Stork,Dog,Rottweiler,Puppy (6 weeks-5 months),N/A,1/14/2023,Owner/Guardian Surrender,-,-,74,3,72
GPG-A-4386,Mojo,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,1/17/2023,Owner/Guardian Surrender,-,-,71,46,71
GPG-A-4404,Disco Stu,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,1/19/2023,Transfer In,-,-,69,19,50
GPG-A-4434,Ralphie,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,1/24/2023,Stray,2/19/2023,Adoption,26,26,13
GPG-A-4435,Bae Bae,Dog,"Terrier, American Pit Bull",Adult Dog (6 months+),"Adoption Floor (Dog), Kennel 10",1/24/2023,Owner/Guardian Surrender,-,-,64,56,64
GPG-A-4437,Mia,Dog,"Retriever, Black Labrador",Adult Dog (6 months+),N/A,1/25/2023,Stray,-,-,63,30,50
GPG-A-4440,Amaretto,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),"Adoption Floor (Dog), Kennel 6",1/26/2023,Transfer In,-,-,62,2,62
GPG-A-4535,Birdie,Dog,Beagle,Puppy (6 weeks-5 months),N/A,1/30/2023,Born In Care,-,-,58,0,22
GPG-A-4446,Pablo,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),"Adoption Floor (Dog), Kennel 6",1/30/2023,Stray,-,-,58,43,50
